label,Time,numberOfGenes,dS,dN,dNa,alpha,pi_syn,pi_nonsyn,segSites_nonsyn,segSites_nonsyn_adv,segSites_syn,Nes,pA
vanilla,T1,14000,0.04983542857142857,0.004840285714285714,0.00045871428571428566,0.0947700844106015,0.009004938565171263,0.001202172555636091,134235,1038,335018,10.0,0.001
vanilla,T2,14000,0.09986071428571427,0.009654357142857143,0.0009022857142857144,0.09345891196425003,0.009004938565171263,0.001202172555636091,134235,1038,335018,10.0,0.001
vanilla,T1,14000,0.050002142857142856,0.04991185714285714,0.041012714285714284,0.8217028304181944,0.0013236937097991196,0.00031795770085945555,71134,1399,112867,1000.0,0.001
vanilla,T2,14000,0.10006542857142857,0.09973542857142856,0.08198742857142857,0.8220491930077863,0.0013236937097991196,0.00031795770085945555,71134,1399,112867,1000.0,0.001
vanilla,T1,14000,0.049983714285714284,0.004622928571428571,0.00023199999999999997,0.05018463867987207,0.00897714207553681,0.001192107451655292,133756,104,333652,50.0,0.0001
vanilla,T2,14000,0.09992371428571427,0.009232428571428572,0.00046678571428571434,0.05055936373342411,0.00897714207553681,0.001192107451655292,133756,104,333652,50.0,0.0001
vanilla,T1,14000,0.05005957142857143,0.1619685,0.15088307142857146,0.9315581204281784,0.0006973632602844562,0.00039312599100416434,66118,13750,73097,500.0,0.01
vanilla,T2,14000,0.10011142857142856,0.3241212857142857,0.3018545,0.9313010693968616,0.0006973632602844562,0.00039312599100416434,66118,13750,73097,500.0,0.01
vanilla,T1,14000,0.050017857142857135,0.26959242857142857,0.25590192857142857,0.9492177874855536,0.0003737140757634959,0.00031521573685812365,51244,13557,44554,1000.0,0.01
vanilla,T2,14000,0.100138,0.5392935000000001,0.5119988571428571,0.9493881479062092,0.0003737140757634959,0.00031521573685812365,51244,13557,44554,1000.0,0.01
vanilla,T1,14000,0.049927,0.009730214285714286,0.004310357142857143,0.4429868671222921,0.005421559395476357,0.0008150854519414892,113199,127,249090,1000.0,0.0001
vanilla,T2,14000,0.10005399999999999,0.01945428571428572,0.008622714285714286,0.4432295491261565,0.005421559395476357,0.0008150854519414892,113199,127,249090,1000.0,0.0001
vanilla,T1,14000,0.05012771428571428,0.004838785714285714,0.0004629285714285714,0.09567040136988324,0.00880709400938661,0.0011673373634919714,132689,113,330192,100.0,0.0001
vanilla,T2,14000,0.10010871428571427,0.009710857142857144,0.0009392142857142855,0.0967179592797458,0.00880709400938661,0.0011673373634919714,132689,113,330192,100.0,0.0001
vanilla,T1,14000,0.050051857142857134,0.007091285714285714,0.0022639285714285712,0.3192550212534499,0.007232752652203589,0.0010059045121823117,124598,116,294523,500.0,0.0001
vanilla,T2,14000,0.10015714285714286,0.014254357142857143,0.004558357142857143,0.31978693231643457,0.007232752652203589,0.0010059045121823117,124598,116,294523,500.0,0.0001
vanilla,T1,14000,0.049926142857142856,0.045757642857142865,0.03897007142857143,0.8516625637871581,0.003077819956307709,0.0007460951205588398,109523,13118,188368,100.0,0.01
vanilla,T2,14000,0.09991614285714286,0.09152407142857144,0.07792021428571429,0.8513630684199395,0.003077819956307709,0.0007460951205588398,109523,13118,188368,100.0,0.01
vanilla,T1,14000,0.050063142857142855,0.026343714285714286,0.020660928571428573,0.7842830493584807,0.004975139482124023,0.0009697180990054923,124256,12428,244549,50.0,0.01
vanilla,T2,14000,0.10006514285714284,0.05261057142857143,0.04128257142857143,0.784682057381189,0.004975139482124023,0.0009697180990054923,124256,12428,244549,50.0,0.01
vanilla,T1,14000,0.04997971428571429,0.008826428571428572,0.004340285714285714,0.4917374767338351,0.008481744127322641,0.0012985522982364365,141232,9993,324444,10.0,0.01
vanilla,T2,14000,0.10000028571428572,0.017640857142857142,0.008674857142857142,0.4917480524107996,0.008481744127322641,0.0012985522982364365,141232,9993,324444,10.0,0.01
vanilla,T1,14000,0.050106428571428566,0.006873071428571429,0.0023120714285714285,0.3363956642382798,0.008185390232352997,0.0011360218588569188,132044,1261,317127,50.0,0.001
vanilla,T2,14000,0.10007085714285714,0.01377392857142857,0.004632357142857143,0.33631342857883684,0.008185390232352997,0.0011360218588569188,132044,1261,317127,50.0,0.001
vanilla,T1,14000,0.050009428571428566,0.009504285714285715,0.004625214285714286,0.4866451225011273,0.007134122387176861,0.001022468427112092,126201,1278,294220,100.0,0.001
vanilla,T2,14000,0.10000371428571428,0.018978285714285715,0.0092345,0.4865824099722992,0.007134122387176861,0.001022468427112092,126201,1278,294220,100.0,0.001
vanilla,T1,14000,0.05007857142857143,0.0044571428571428574,4.907142857142858e-05,0.011009615384615385,0.009053559699899762,0.0011978420658698165,133945,100,335315,10.0,0.0001
vanilla,T2,14000,0.10008528571428572,0.00888242857142857,9.499999999999999e-05,0.010695273171751613,0.009053559699899762,0.0011978420658698165,133945,100,335315,10.0,0.0001
vanilla,T1,14000,0.05002471428571428,0.028968928571428576,0.021895785714285715,0.755836918866273,0.0027484822858557197,0.0005241131406720928,92929,1385,171242,500.0,0.001
vanilla,T2,14000,0.10005271428571427,0.057788642857142865,0.043704285714285716,0.756278111986908,0.0027484822858557197,0.0005241131406720928,92929,1385,171242,500.0,0.001
