"","taxa","stat","lower","median","upper","Nes","pA","n","name","product"
"7","withD","propSig",1,1,1,50,0.01,20,"dDFE",0.5
"14","noD","propSig",1,1,1,50,0.01,20,"dDFE",0.5
"49","withD","propSig",1,1,1,1000,0.001,20,"dDFE",1
"56","noD","propSig",1,1,1,1000,0.001,20,"dDFE",1
"91","withD","propSig",1,1,1,10,0.001,20,"dDFE",0.01
"98","noD","propSig",0.244186046511628,0.244186046511628,0.244186046511628,10,0.001,20,"dDFE",0.01
"105","withD","propSig",1,1,1,1000,0.01,20,"dDFE",10
"112","noD","propSig",1,1,1,1000,0.01,20,"dDFE",10
"133","withD","propSig",1,1,1,500,0.01,20,"dDFE",5
"140","noD","propSig",1,1,1,500,0.01,20,"dDFE",5
"161","withD","propSig",1,1,1,500,0.001,20,"dDFE",0.5
"168","noD","propSig",1,1,1,500,0.001,20,"dDFE",0.5
"175","withD","propSig",1,1,1,50,0.001,20,"dDFE",0.05
"182","noD","propSig",1,1,1,50,0.001,20,"dDFE",0.05
"189","withD","propSig",1,1,1,100,0.01,20,"dDFE",1
"196","noD","propSig",1,1,1,100,0.01,20,"dDFE",1
"217","withD","propSig",0.65,0.65,0.65,10,0.0001,20,"dDFE",0.001
"224","noD","propSig",0.0918367346938776,0.0918367346938776,0.0918367346938776,10,0.0001,20,"dDFE",0.001
"245","withD","propSig",1,1,1,100,0.0001,20,"dDFE",0.01
"252","noD","propSig",0.822916666666667,0.822916666666667,0.822916666666667,100,0.0001,20,"dDFE",0.01
"259","withD","propSig",1,1,1,500,0.0001,20,"dDFE",0.05
"266","noD","propSig",0.588888888888889,0.588888888888889,0.588888888888889,500,0.0001,20,"dDFE",0.05
"315","withD","propSig",1,1,1,100,0.001,20,"dDFE",0.1
"322","noD","propSig",1,1,1,100,0.001,20,"dDFE",0.1
"343","withD","propSig",1,1,1,1000,0.0001,20,"dDFE",0.1
"350","noD","propSig",0.969230769230769,0.969230769230769,0.969230769230769,1000,0.0001,20,"dDFE",0.1
"371","withD","propSig",1,1,1,50,0.0001,20,"dDFE",0.005
"378","noD","propSig",0.141414141414141,0.141414141414141,0.141414141414141,50,0.0001,20,"dDFE",0.005
"385","withD","propSig",1,1,1,10,0.01,20,"dDFE",0.1
"392","noD","propSig",1,1,1,10,0.01,20,"dDFE",0.1
