alleles,count,class,site
1,64112,neutral,syn
2,30585,neutral,syn
3,19556,neutral,syn
4,14189,neutral,syn
5,11053,neutral,syn
6,8926,neutral,syn
7,7500,neutral,syn
8,6509,neutral,syn
9,5595,neutral,syn
10,4922,neutral,syn
11,4431,neutral,syn
12,4012,neutral,syn
13,3555,neutral,syn
14,3388,neutral,syn
15,3166,neutral,syn
16,2859,neutral,syn
17,2644,neutral,syn
18,2497,neutral,syn
19,2340,neutral,syn
20,2204,neutral,syn
21,2159,neutral,syn
22,1888,neutral,syn
23,1806,neutral,syn
24,1803,neutral,syn
25,1650,neutral,syn
26,1641,neutral,syn
27,1622,neutral,syn
28,1531,neutral,syn
29,1506,neutral,syn
30,1481,neutral,syn
31,1491,neutral,syn
32,1431,neutral,syn
33,1362,neutral,syn
34,1258,neutral,syn
35,1334,neutral,syn
36,1338,neutral,syn
37,1297,neutral,syn
38,1219,neutral,syn
39,1325,neutral,syn
1,37028,deleterious,nonsyn
2,12499,deleterious,nonsyn
3,7011,deleterious,nonsyn
4,4503,deleterious,nonsyn
5,3292,deleterious,nonsyn
6,2645,deleterious,nonsyn
7,2044,deleterious,nonsyn
8,1720,deleterious,nonsyn
9,1380,deleterious,nonsyn
10,1209,deleterious,nonsyn
11,1060,deleterious,nonsyn
12,914,deleterious,nonsyn
13,795,deleterious,nonsyn
14,778,deleterious,nonsyn
15,722,deleterious,nonsyn
16,631,deleterious,nonsyn
17,608,deleterious,nonsyn
18,565,deleterious,nonsyn
19,535,deleterious,nonsyn
20,479,deleterious,nonsyn
21,445,deleterious,nonsyn
22,407,deleterious,nonsyn
23,394,deleterious,nonsyn
24,395,deleterious,nonsyn
25,357,deleterious,nonsyn
26,314,deleterious,nonsyn
27,333,deleterious,nonsyn
28,285,deleterious,nonsyn
29,290,deleterious,nonsyn
30,303,deleterious,nonsyn
31,268,deleterious,nonsyn
32,306,deleterious,nonsyn
33,261,deleterious,nonsyn
34,250,deleterious,nonsyn
35,256,deleterious,nonsyn
36,257,deleterious,nonsyn
37,248,deleterious,nonsyn
38,256,deleterious,nonsyn
39,269,deleterious,nonsyn
1,130,advantageus,nonsyn
2,70,advantageus,nonsyn
3,51,advantageus,nonsyn
4,39,advantageus,nonsyn
5,27,advantageus,nonsyn
6,28,advantageus,nonsyn
7,26,advantageus,nonsyn
8,19,advantageus,nonsyn
9,16,advantageus,nonsyn
10,23,advantageus,nonsyn
11,15,advantageus,nonsyn
12,18,advantageus,nonsyn
13,18,advantageus,nonsyn
14,6,advantageus,nonsyn
15,15,advantageus,nonsyn
16,15,advantageus,nonsyn
17,9,advantageus,nonsyn
18,12,advantageus,nonsyn
19,15,advantageus,nonsyn
20,14,advantageus,nonsyn
21,12,advantageus,nonsyn
22,20,advantageus,nonsyn
23,15,advantageus,nonsyn
24,21,advantageus,nonsyn
25,16,advantageus,nonsyn
26,17,advantageus,nonsyn
27,19,advantageus,nonsyn
28,11,advantageus,nonsyn
29,17,advantageus,nonsyn
30,23,advantageus,nonsyn
31,18,advantageus,nonsyn
32,22,advantageus,nonsyn
33,27,advantageus,nonsyn
34,24,advantageus,nonsyn
35,29,advantageus,nonsyn
36,29,advantageus,nonsyn
37,46,advantageus,nonsyn
38,58,advantageus,nonsyn
39,90,advantageus,nonsyn
